Neighborhood,Arrondissement,Latitude,Longitude,Price
Place-Vendome,1,48.8670185906,2.32858166493,9816
Halles,1,48.8622891081,2.34489885831,9816
Palais-Royal,1,48.8646599781,2.33630891897,9816
Saint-Germain-l'Auxerrois,1,48.8606501352,2.33491032928,9816
Gaillon,2,48.8693066381,2.33343180766,11262
Mail,2,48.8680083374,2.34469912743,11262
Bonne-Nouvelle,2,48.8671501183,2.35008019041,11262
Vivienne,2,48.8691001998,2.33946074375,11262
Archives,3,48.8591924127,2.36320505733,11560
Sainte-Avoie,3,48.862557245,2.35485151825,11560
Arts-et-Metiers,3,48.8664702895,2.35708313106,11560
Enfants-Rouges,3,48.863887392,2.36312330099,11560
Saint-Merri,4,48.8585213723,2.35166696714,13262
Saint-Gervais,4,48.8557186509,2.35816233385,13262
Arsenal,4,48.851585175,2.36476795387,13262
Notre-Dame,4,48.8528955862,2.35277501212,13262
Jardin-des-Plantes,5,48.8419401934,2.35689388962,11609
Val-de-Grace,5,48.841684288,2.34386092632,11609
Sorbonne,5,48.8490447659,2.34574660019,11609
Saint-Victor,5,48.8476636355,2.35409315338,11609
Saint-Germain-des-Pres,6,48.85528872,2.33365686809,13944
Odeon,6,48.8478006293,2.33633882759,13944
Notre-Dame-des-Champs,6,48.846427594,2.32735687823,13944
Monnaie,6,48.8543844036,2.34003537113,13944
Invalides,7,48.8585149661,2.31644474034,13569
Ecole-Militaire,7,48.8503592615,2.31103093627,13569
Gros-Caillou,7,48.8582999039,2.30154155569,13569
Saint-Thomas-d'Aquin,7,48.8552632694,2.32558765258,13569
Champs-Elysees,8,48.8670744922,2.30865168468,12436
Europe,8,48.8781476759,2.3171746113,12436
Faubourg-du-Roule,8,48.8741355756,2.30411880972,12436
Madeleine,8,48.871265493,2.32005302865,12436
Saint-Georges,9,48.8799343388,2.33285019656,10497
Faubourg-Montmartre,9,48.8739346918,2.34325257947,10497
Chaussee-d'Antin,9,48.8735473802,2.33226886887,10497
Rochechouart,9,48.8798119198,2.344861291,10497
Hopital-Saint-Louis,10,48.87600829,2.36812301789,9441
Porte-Saint-Denis,10,48.873617661,2.35228289495,9441
Saint-Vincent-de-Paul,10,48.8807352373,2.35747081045,9441
Porte-Saint-Martin,10,48.8712446509,2.36150364735,9441
Folie-Mericourt,11,48.8674031901,2.37296482493,9571
Sainte-Marguerite,11,48.852096507,2.3887648336,9571
Saint-Ambroise,11,48.8623450235,2.37611805592,9571
Roquette,11,48.8570640408,2.38036406173,9571
Bel-Air,12,48.8379956461,2.43317844196,8836
Picpus,12,48.8303592424,2.42882681508,8836
Bercy,12,48.8352090499,2.38621008421,8836
Quinze-Vingts,12,48.8469159441,2.37440162648,8836
Salpetriere,13,48.8374058852,2.36331863515,8156
Croulebarbe,13,48.8337336761,2.34767304607,8156
Maison-Blanche,13,48.8231278057,2.35243314954,8156
Gare,13,48.8275274578,2.37239773692,8156
Parc-de-Montsouris,14,48.8234527716,2.33707017986,9531
Plaisance,14,48.8303170426,2.31530493157,9531
Petit-Montrouge,14,48.8266526255,2.32643699922,9531
Montparnasse,14,48.837623096,2.33178382289,9531
Necker,15,48.8427112503,2.31077745364,9583
Grenelle,15,48.8501716555,2.2918526427,9583
Javel,15,48.8390604011,2.27807634692,9583
Saint-Lambert,15,48.8342936284,2.29691997445,9583
Muette,16,48.8632745438,2.2599358317,11753
Porte-Dauphine,16,48.8717656343,2.27191774047,11753
Auteuil,16,48.8506223427,2.25227690754,11753
Chaillot,16,48.8684336145,2.29167904274,11753
Epinettes,17,48.8949426538,2.32111874371,10930
Plaine de Monceaux,17,48.8850436914,2.30290982465,10930
Ternes,17,48.8811775503,2.28996373812,10930
Batignolles,17,48.8884815139,2.31385616901,10930
Grandes-Carrieres,18,48.8925777711,2.33436308991,8874
La Chapelle,18,48.8940121696,2.36438677903,8874
Goutte-d'Or,18,48.8921381876,2.3555361633,8874
Clignancourt,18,48.8916675911,2.34597875459,8874
Combat,19,48.8786390757,2.38012728183,7909
Villette,19,48.8876610888,2.37446821213,7909
Pont-de-Flandre,19,48.8955557746,2.38477722927,7909
Amerique,19,48.8816381673,2.39544016662,7909
Charonne,20,48.854760283,2.40743032824,7853
Saint-Fargeau,20,48.8710347391,2.40617153015,7853
Belleville,20,48.8715312006,2.38754923985,7853
Pere-Lachaise,20,48.863719484,2.39527282076,7853
